tuition,pcttop25,sf_ratio,fac_comp,accrate,graduat,pct_phd,fulltime,alumni,num_enrl,public/private
7434,57,19.6,64500,0.869,49,91,81.57,NA,4529,0
3552,NA,42.6,42800,0.961,NA,54,92.71,NA,662,0
3216,NA,16.2,41900,0.938,NA,47,74.58,NA,744,0
8644,74,12.6,48800,0.472,54,79,74.44,24,166,1
3460,52,19.6,47100,0.997,48,57,79.32,5,951,0
3720,NA,20,49800,0.98,39,71,80.86,9,1488,0
3274,47,20.5,48200,0.863,36,71,86.87,10,1792,0
4800,55,12.8,39100,0.986,NA,49,90.62,NA,126,1
2880,47,19,47700,1,68,58,74.69,12,771,0
8800,87,13.1,56200,0.876,63,82,99.38,26,274,1
6398,53,13.3,42600,0.669,75,68,90.66,19,284,1
5352,NA,14.7,50400,0.749,19,61,58.64,4,1194,0
6530,73,13.3,43500,0.849,65,63,95.55,10,450,1
2370,23,18.1,NA,1,NA,41,74.57,NA,222,1
3952,34,18,33100,0.955,NA,62,83.99,NA,131,1
2340,45,17,45300,1,33,40,89.2,NA,499,0
5028,65,14.8,55000,0.961,39,73,86.7,10,2133,0
15500,56,12.8,48800,0.878,NA,47,94.34,7,504,1
11388,NA,16.6,46400,0.801,36,67,94.88,15,459,1
6370,44,13,NA,0.851,43,56,83.97,NA,157,1
16695,100,6.5,107500,0.265,83,100,NA,36,210,1
12950,52,12.4,50700,0.439,60,72,76.76,17,247,1
8990,NA,19.9,69000,0.746,56,88,64.52,NA,1470,0
8803,NA,20.5,69900,0.329,47,NA,69.44,NA,1126,0
8233,NA,20.3,68500,0.754,48,80,NA,NA,2576,0
7454,NA,20.4,NA,0.491,49,53,64.18,NA,1268,0
8820,NA,18.1,70500,0.8,24,90,63.34,NA,428,0
7380,73,19.8,72100,0.489,59,72,90.19,13,1650,0
5904,60,18.5,70700,0.654,50,73,73.51,7,1566,0
5904,75,18.9,70700,0.814,63,NA,89.8,5,1278,0
5226,NA,13.7,67000,0.774,NA,48,37.08,6,1162,0
7706,60,21.2,69900,0.726,61,90,91.5,8,1483,0
9979,NA,16.4,68800,0.632,65,80,89.26,4,565,0
9096,NA,19.2,NA,0.696,47,79,62.71,3,1234,0
8384,70,19.5,69300,0.747,41,87,74.72,7,2151,0
5904,33,20.3,NA,0.695,43,NA,67.36,NA,2157,0
8964,NA,17.4,NA,0.657,55,75,68.92,1,1259,0
8820,NA,17.4,66900,0.786,46,72,66.46,6,1420,0
7830,84,16.1,69900,0.36,40,79,77.1,1,557,0
8868,NA,15.3,NA,0.797,NA,89,63.31,9,461,0
11760,NA,15.7,NA,0.522,23,90,77.96,NA,51,1
16624,48,12.8,65600,0.804,47,72,88.83,6,351,1
13592,64,14.2,75400,0.706,84,84,89.08,10,753,1
17000,93,9.6,75100,0.412,87,99,99.89,52,227,1
17230,100,8.2,80500,0.415,100,100,99.24,46,178,1
17688,73,10.4,69500,0.556,73,100,96.15,11,220,1
17720,98,8.9,70800,0.372,91,94,NA,47,390,1
17238,83,8.2,65800,0.739,73,95,98.78,41,139,1
12600,42,10.4,53500,0.767,43,77,60.17,7,97,1
11480,NA,7.8,41300,0.609,44,75,46.27,41,43,1
12790,NA,11.6,NA,0.812,50,56,81.2,29,75,1
12180,NA,12.6,NA,0.804,49,69,79.93,14,325,1
13540,38,14.1,49400,0.607,47,66,48.46,23,226,1
13975,NA,15.4,NA,0.873,NA,46,98.4,5,115,1
14100,66,10.3,61200,0.783,64,NA,94.78,24,132,1
12474,90,11.9,NA,0.817,72,53,69.04,19,113,1
16560,81,10.5,62100,0.568,79,91,97.97,30,370,1
6500,41,10.7,NA,0.85,67,38,71.5,6,89,1
9900,87,10.5,44700,0.792,54,59,91.79,14,146,1
11925,48,12.3,40300,0.711,69,48,90.45,12,385,1
10178,43,16.1,54900,0.849,54,71,89.7,19,428,1
18200,96,11.6,82900,0.533,66,95,79.92,13,680,1
4128,NA,17.3,53700,1,NA,42,69.75,NA,952,0
4104,NA,20.6,46300,1,8,75,41.66,1,1108,0
9520,38,18.6,NA,0.883,43,63,86.06,11,193,1
13332,80,16.1,61800,0.61,78,88,91.34,17,465,1
18669,97,9.7,100000,0.215,96,NA,NA,25,1616,1
11648,100,15.8,79900,0.415,78,93,90.46,10,3215,0
7699,100,14.5,68900,0.697,76,NA,89.1,11,3124,0
12024,100,16.1,70500,0.686,66,96,93.62,11,2478,0
7689,100,11.8,74800,0.471,77,97,94.52,9,3591,0
7699,100,13.4,63200,0.772,62,98,96.31,8,1470,0
7699,100,13.9,73200,0.59,66,100,95.08,6,2481,0
11218,100,18.9,71100,0.849,69,96,95.76,6,3239,0
7699,100,21.3,66000,0.796,59,94,93.49,10,1717,0
16530,63,8.9,61000,0.814,73,81,46.31,25,306,1
13226,48,13.6,68000,0.746,62,86,88.7,8,538,1
13584,73,13.9,72900,0.691,100,88,96.82,19,888,1
17230,71,11.4,82500,0.695,68,90,90.27,10,2477,1
16320,66,11.2,57000,0.812,65,87,89.91,14,582,1
9200,NA,16.8,38800,0.846,51,23,95.71,14,118,1
14320,72,14.9,52600,0.751,87,77,99.3,17,351,0
16249,63,13.6,64200,0.636,52,84,97.63,29,344,1
13020,NA,13.5,47800,0.897,54,28,80.02,2,111,1
1672,44,27.9,44400,0.835,60,63,89.23,NA,569,0
17142,87,11.3,66500,0.492,84,85,99.63,51,490,1
7731,37,21.5,45800,0.725,40,75,84.96,8,1697,0
8412,65,19.2,61700,0.666,59,87,89.53,10,2194,0
6198,35,19.1,46000,0.821,46,89,88.64,6,1123,0
5016,18,28.8,41000,0.919,59,48,79.21,12,891,0
5790,23,21.1,49800,0.847,25,75,53.86,14,1662,0
12700,NA,14.8,52700,0.817,53,90,97.69,15,308,1
7100,34,19.4,46800,0.884,36,63,84.63,0,605,0
12563,65,19.9,64900,0.663,66,90,92.3,NA,3436,0
15192,60,15.9,62000,0.673,67,84,82.8,21,580,1
5918,24,19.4,49000,0.601,52,76,94.07,4,604,0
13290,45,11.5,39300,0.963,63,90,64.4,26,103,1
5962,24,16.7,68000,0.609,49,69,62.23,4,902,0
18740,93,10.7,65400,0.509,91,86,87.54,40,438,1
5962,23,15.5,77800,0.605,NA,69,60.23,NA,528,0
15000,66,15.1,72100,0.699,94,86,74.21,30,781,1
10600,11,15.6,59600,0.855,79,79,42.44,6,336,1
11300,26,12.2,NA,0.861,NA,30,30.93,2,92,1
12030,45,12,70100,0.58,86,63,78.94,33,806,1
11070,51,14.8,55300,0.822,82,71,47.47,16,509,1
5962,14,15.8,67800,0.688,45,62,70.39,8,1044,0
12200,52,11.2,51700,0.825,76,87,43.27,32,96,1
18810,84,10.4,70400,0.588,91,91,87.68,48,478,1
12500,36,7.9,55300,0.737,51,76,62.81,NA,153,1
14220,26,10.7,55800,0.795,66,61,72.7,9,1194,1
19130,86,12.1,76100,0.413,92,90,99.01,39,712,1
5962,50,16.9,71400,0.687,50,71,64.37,14,564,0
19840,99,5.8,86300,0.229,99,96,98.43,49,1317,1
4878,NA,13.7,51500,0.707,26,60,NA,NA,764,0
6120,27,27.6,52800,0.739,36,25,46.08,4,284,1
10220,57,18.3,72100,0.728,75,82,75.76,15,3252,1
9890,25,14.4,45600,0.823,84,52,66.06,15,350,1
15934,77,13.6,67300,0.778,69,NA,83.89,9,1048,1
8400,52,12.1,41600,0.9,52,10,46,24,35,1
13712,49,9.3,57000,0.835,75,90,91.1,18,505,1
4700,NA,6.6,63700,0.782,NA,58,87.46,17,392,1
17450,71,7.6,73300,0.643,72,92,78.82,15,1492,1
18300,93,7.2,78500,0.259,95,91,93.54,27,1390,1
7128,NA,7.5,58700,0.324,46,78,88.47,4,1666,1
13780,35,5.7,41300,0.47,NA,84,59.53,20,61,1
11412,49,8.3,41500,0.765,96,89,32.59,37,100,1
11290,45,12.6,47700,0.792,72,76,36.55,11,279,1
5188,30,13.8,NA,0.699,58,48,96.29,9,542,1
9600,30,23.2,48000,0.752,33,NA,70.01,6,236,1
13900,74,10.6,NA,0.812,57,90,88.88,7,523,1
5200,NA,15.1,NA,0.969,NA,55,90.49,12,101,1
7800,40,16.5,44600,0.82,44,37,84.79,4,958,1
6651,40,11.8,54000,0.594,NA,87,85.39,NA,1463,0
6700,NA,15.6,60100,0.657,48,90,48.48,2,826,0
4160,NA,17.1,NA,0.75,35,38,88.17,3,557,1
15360,65,12.8,56300,0.78,59,82,98.34,26,366,1
8025,44,17.4,46300,0.753,68,65,60.82,10,374,1
6680,90,23.1,61600,0.745,58,80,85.36,15,3023,0
9600,34,12.1,NA,0.75,NA,61,75.06,20,305,1
13900,NA,19,NA,0.74,65,69,86.21,8,315,1
8550,NA,20.4,NA,0.751,23,90,60.81,18,257,1
16425,55,13.3,56400,0.648,90,81,61.32,23,382,1
9150,NA,72.4,NA,0.69,NA,47,47.68,2,201,1
12315,69,12.5,60500,0.788,73,85,96.04,24,489,1
7090,85,13.4,65300,0.71,66,88,88.16,20,3623,0
16500,69,5.9,65900,0.756,59,82,89.86,17,1643,1
6760,63,17,59100,0.616,47,84,57.4,7,1876,0
11690,NA,13.9,49700,0.71,NA,NA,82.89,NA,325,1
5590,27,15.1,NA,0.511,90,53,74.83,4,79,1
12960,89,7.7,52800,0.837,59,92,89.01,37,137,1
4535,22,17,48400,0.751,62,65,86.38,NA,580,0
5604,NA,10.5,43400,0.839,88,45,53.9,NA,1263,0
7908,NA,14.9,NA,0.555,53,63,97,NA,790,1
4266,NA,18.9,48900,0.798,38,65,61.39,10,870,0
8050,68,16.3,50900,0.657,63,80,97.06,17,480,1
9592,41,13.7,NA,0.747,49,71,65.69,12,158,1
4371,26,12.6,NA,0.855,18,62,61.62,10,1202,1
2763,NA,16.5,51500,0.779,32,61,62.33,9,774,0
17600,97,5,75300,0.49,96,97,96.65,28,1236,1
2682,NA,13.9,48700,0.705,39,59,89.6,NA,649,0
6489,99,19.3,71100,0.578,70,92,92.88,33,2276,0
4023,NA,17.3,51100,0.771,36,52,63.47,20,297,0
4571,NA,19.7,45300,0.647,46,60,91.89,15,3034,0
4158,NA,18.1,NA,0.833,26,50,78.26,NA,330,0
6744,24,19,62400,0.617,34,87,46.06,10,1238,0
2844,NA,19.8,50600,0.759,21,62,49.46,10,1161,0
6987,35,12.5,NA,0.733,75,77,62.31,12,177,1
11985,70,9.2,54000,0.73,91,93,70.02,15,564,1
7050,66,17.8,NA,0.453,83,71,94.91,10,722,1
6770,NA,15.7,NA,0.234,21,49,93.34,NA,595,1
4145,45,17.5,NA,0.668,53,60,86.49,NA,775,0
12900,87,13.1,54600,0.819,67,91,67.1,27,186,1
5460,NA,10.9,NA,0.481,27,48,85.86,NA,225,1
5640,40,13.2,NA,0.848,31,89,91.05,17,127,1
3200,39,19,NA,0.851,48,60,85.24,NA,726,0
7210,70,13.2,37900,0.824,58,62,90.95,18,165,1
7000,83,12.5,NA,0.333,65,73,94.85,18,443,1
6072,36,16.8,NA,NA,54,48,90.5,28,182,1
5697,79,14.7,60700,0.702,63,88,87.68,22,3320,0
4617,NA,20,50000,0.884,45,67,80.84,8,1586,0
11500,NA,7.6,NA,0.941,52,68,89.25,20,109,1
4650,NA,19.2,50200,0.71,40,59,79.38,10,1331,0
4457,NA,21.4,47900,0.957,52,70,74.82,7,829,0
10600,NA,14.1,NA,0.879,NA,63,39.9,NA,103,1
1780,42,16.8,NA,0.513,NA,64,98.87,NA,428,1
4460,69,11.8,71900,0.727,54,85,82.06,6,1627,0
2093,NA,17,49800,0.851,25,59,61.19,8,1888,0
13500,62,9.4,42800,0.816,55,67,94.3,11,158,1
4500,40,16.5,47100,0.818,33,67,72.66,7,1137,0
5120,NA,12.1,43600,0.55,44,60,61.07,NA,428,0
9840,52,14.8,44800,0.834,58,59,94.89,20,385,1
5962,49,13.5,55000,0.893,45,82,83.5,18,1337,0
13353,69,12.7,51700,0.882,71,78,98.09,40,497,1
10250,NA,9.1,44700,0.904,56,NA,50.43,19,127,1
9690,36,9.7,47400,0.736,71,57,63,35,111,1
6500,55,14.3,37000,0.672,51,76,93.97,53,156,1
10870,58,14.4,52900,0.906,85,75,87.57,21,1061,1
9810,56,17.5,48900,0.723,80,52,76.49,18,160,1
7310,NA,13.4,44600,0.893,41,18,70.9,NA,1117,1
9216,56,12.1,43500,0.763,75,56,88.96,13,186,1
11214,58,16.1,64800,0.737,63,69,62,25,1227,1
5710,38,16.2,42800,0.76,76,62,91.56,5,1565,0
10955,56,10.6,43800,0.811,53,62,96.8,31,113,1
10310,46,14.3,42200,0.759,60,57,93.57,16,194,1
8050,63,15.6,50200,0.88,52,75,97.01,30,262,1
14550,77,12.3,63600,0.774,56,80,75.33,26,478,1
7799,35,21,54100,0.771,54,77,89.6,16,2408,0
5706,27,15.1,45500,0.722,21,78,54.16,NA,631,0
5544,37,15.6,39900,0.484,18,47,62.77,NA,777,0
14360,86,12.9,57200,0.44,83,77,98.75,34,471,1
9414,30,10.6,43800,0.728,56,34,89.18,30,137,1
6900,15,15.9,37700,1,80,24,91.11,NA,121,1
15747,77,12.7,54400,0.813,79,88,97.58,33,286,1
16880,70,10.7,66200,0.652,77,91,97.98,19,271,1
10560,31,14.3,43700,0.91,61,36,60.64,10,395,1
11500,55,6.2,70100,0.827,65,94,60.55,15,868,1
9620,29,10.8,31800,0.754,59,49,90.88,33,177,1
7680,43,17.7,46700,0.554,52,70,55,21,119,1
11910,62,11.4,47200,0.873,75,60,94.95,25,456,1
13000,57,11.6,46400,0.837,56,91,98.39,43,204,1
9090,48,18.3,40500,0.676,71,62,83.24,2,279,1
11718,64,16.4,49700,0.784,76,73,63.1,33,308,1
12580,39,13.1,43100,0.776,74,76,84.93,24,176,1
7799,37,17.3,51500,0.674,56,73,88.22,11,2397,0
16404,98,6.8,86800,0.423,92,96,99.4,25,1902,1
7700,58,14.6,39500,0.944,54,39,83.69,NA,388,1
12816,45,9.6,49000,0.873,90,NA,96.28,23,129,1
10100,66,16.3,42700,0.69,80,69,93.7,32,297,1
12305,37,12.3,NA,0.854,NA,57,71.36,33,196,1
8580,40,12.2,53100,0.87,77,75,36.94,13,218,1
10950,53,12.9,46800,0.74,81,79,69.88,30,141,1
6953,NA,14.9,50000,NA,44,71,87.16,6,2158,0
5472,40,16.5,53100,0.864,43,76,70.39,8,994,0
10500,47,11.6,51100,0.919,75,81,70.19,29,269,1
10860,65,13.7,53100,0.824,55,87,69.7,15,295,1
9600,82,21.9,37700,0.634,28,54,94.34,NA,317,1
18930,94,5.3,91600,0.472,90,99,98.85,36,922,1
7560,88,17.4,65900,0.78,81,87,96.54,13,5705,0
7230,50,10,59600,0.683,34,82,82.26,6,2710,0
5706,24,17.2,49300,0.774,55,77,86.15,NA,1563,0
11480,84,12.7,57400,0.642,85,81,97.52,40,548,1
10100,40,12.1,43700,0.747,59,48,86.62,14,423,1
7244,50,17.7,50100,0.845,51,69,87.98,25,3849,0
9300,37,14.6,37600,0.838,NA,51,64.58,38,267,1
13130,68,10.9,54400,0.862,83,77,94.63,29,700,1
14300,80,11.1,58700,0.83,82,78,98.22,31,495,1
15036,63,10.6,55100,0.741,78,90,98.75,46,274,1
11800,67,15.8,49600,0.776,77,60,86.24,26,694,1
10390,72,12.5,47700,0.786,60,54,92.51,37,281,1
9420,51,9.9,41800,0.9,72,51,84.57,46,221,1
8958,46,15.3,39500,0.781,64,53,84.54,26,167,1
8200,65,10.6,52400,0.832,64,84,98.56,26,317,1
9950,46,11.8,44400,0.956,47,76,91.9,25,125,1
11120,51,11.1,46900,0.858,69,55,46.26,23,388,1
8120,47,15.4,NA,0.77,NA,40,44.21,15,167,1
4973,25,22,49100,0.897,38,56,59.03,21,1292,0
9766,72,21.3,68500,0.798,68,77,90.11,24,5873,0
6140,24,13.8,44300,1,24,52,42.15,29,616,0
5170,32,16,50300,0.936,41,67,45.71,NA,1714,0
8490,27,10.4,59900,0.789,25,69,45.19,39,2301,0
6140,26,14.7,50400,0.98,23,60,35.49,31,723,0
6140,18,18.2,52200,0.789,33,56,50.83,5,907,0
6594,30,14.4,53700,0.833,33,69,45.25,17,980,0
6140,NA,16.7,54000,0.993,33,76,50.63,22,911,0
10440,63,11.8,42000,0.799,64,63,94.69,20,239,1
9990,42,10.4,41100,0.704,61,38,68.37,NA,238,1
9210,48,39.8,41800,0.576,34,49,77.59,15,366,1
7260,35,11.5,32800,0.939,62,41,78.27,NA,275,1
9556,60,18.2,72200,0.86,67,86,86.57,15,5874,0
5521,NA,NA,53000,NA,NA,NA,47.79,NA,NA,0
13380,93,13.6,71500,0.554,97,91,NA,42,381,1
8670,36,12.5,37300,0.779,48,43,67.5,4,85,1
11200,42,14.8,44300,0.743,67,55,78.59,19,225,1
3960,24,10.6,35300,0.902,NA,37,42.84,NA,176,1
10300,50,10.2,29000,0.867,75,44,30.75,37,88,1
12730,60,9.9,50500,0.827,98,74,98.15,31,393,1
6004,44,4.9,37600,0.638,NA,67,NA,23,36,1
10965,80,14.2,48000,0.617,98,60,95.59,32,437,1
9456,40,12.8,41500,0.873,65,53,90.89,24,276,1
16850,96,13.1,78700,0.481,97,96,99.61,46,1906,1
11800,81,14.2,54800,0.832,95,87,92.66,23,520,1
12925,76,9.9,63700,0.779,72,78,99.38,55,256,1
10260,44,13.1,39800,0.895,58,39,63.18,26,155,1
13306,70,8.8,48600,0.8,78,62,81.35,10,285,1
10938,65,13.5,48300,0.867,67,76,97.13,29,401,1
10740,45,11,40700,0.739,74,67,63.31,27,167,1
13925,60,12.7,57000,0.738,67,73,84.61,32,275,1
15248,68,12.2,57400,0.864,64,71,99.13,31,383,1
9800,50,12.5,47200,0.93,87,61,94.93,17,328,1
13420,65,15,60000,0.919,77,88,82.07,24,839,1
9100,41,23.6,41800,0.746,47,51,30.39,24,242,1
9820,36,12.6,41600,0.955,32,32,74.29,NA,233,1
15688,91,9.5,63800,0.681,83,88,97.8,54,432,1
7550,59,19.2,66600,0.881,65,81,91.59,22,3441,0
9850,44,17.2,NA,0.657,NA,45,56.87,NA,127,1
11200,39,14.2,44500,0.782,70,61,90.73,24,527,1
13240,72,13.8,53100,0.899,77,73,96.39,38,587,1
9980,NA,12.3,NA,0.741,69,44,66.1,10,93,1
10520,36,13,42500,0.91,56,48,80.65,32,239,1
10500,49,11.3,40500,0.861,64,44,59.79,30,159,1
9900,33,13.6,37300,0.874,21,32,80.53,43,95,1
9900,56,14.9,43400,0.943,68,68,95.24,34,366,1
11250,57,15.8,50400,0.858,70,66,64.96,36,300,1
10450,48,14.1,45000,0.8,70,56,77.52,16,276,1
6197,52,16.3,56100,0.815,77,78,87.5,26,1853,0
10430,39,16.5,39600,0.969,45,85,83.48,18,137,1
8149,52,13.1,72300,0.87,62,NA,84.26,37,3262,0
8840,35,17.4,36600,0.682,78,69,56.08,19,192,1
11600,66,12.4,45100,0.872,67,66,92.5,37,345,1
9980,18,12,35900,0.678,51,46,80.71,NA,123,1
10000,33,13.3,36300,0.902,40,35,85.48,NA,140,1
8620,47,11,39700,0.802,65,58,67.28,21,206,1
8740,41,11.6,35000,0.929,48,62,91.93,29,200,1
8540,42,8.8,35800,0.911,56,61,84.17,32,122,1
4869,33,18.1,47400,1,44,65,83.76,NA,806,0
8516,24,25,NA,0.771,49,55,87.29,19,172,1
5424,30,23.2,47700,0.925,58,52,89.96,NA,813,0
5401,79,19.3,47100,1,50,72,87.06,4,853,0
6995,55,18.5,55400,0.693,54,76,86.91,22,2833,0
8400,40,12.4,34000,0.976,68,63,64.75,14,148,1
7950,32,9.8,34200,0.698,48,54,80.77,45,93,1
7250,19,14.5,33800,0.639,46,47,93.73,19,236,1
7200,66,11.8,38000,0.728,52,56,77.42,12,75,1
7800,60,8.2,33500,0.839,53,50,51.41,45,66,1
8280,43,16.1,NA,0.779,36,50,82.59,29,127,1
7850,41,10,32600,0.712,53,55,91.24,15,109,1
6994,50,13.7,60300,0.648,57,88,91.44,17,3681,0
4774,36,13.8,56100,0.98,53,82,53.86,NA,560,0
6994,39,20.4,51400,0.771,32,82,56.31,17,896,0
3800,45,19.4,NA,0.517,31,56,95.85,NA,289,1
8988,56,12.1,NA,0.792,NA,61,96.61,36,280,1
8840,63,13.1,48200,0.876,84,74,66.44,31,308,1
7500,42,10.1,35700,0.847,56,49,64.48,57,99,1
6060,55,17.7,34700,0.692,49,62,83.56,13,298,1
8400,45,10.6,36300,0.71,89,50,69.13,40,97,1
11850,82,11.4,53200,0.877,74,95,99.26,60,288,1
6230,47,13,35500,0.793,63,42,91.46,4,398,1
4700,NA,19.8,55500,0.943,39,82,76.99,NA,2445,0
8100,55,13.3,42000,0.953,55,73,95.68,28,286,1
4120,22,15,47400,0.582,19,60,63.28,NA,424,0
8000,49,11.3,40500,0.851,62,57,84.55,32,175,1
6600,NA,19.3,34900,0.794,NA,32,85.98,NA,382,1
4740,NA,19.9,47200,0.883,52,58,86.62,8,1300,0
4738,55,20.2,50300,0.858,52,72,86.21,27,1190,0
6000,48,13.4,36700,0.99,61,48,88.85,14,169,1
10900,81,12.1,52100,0.96,70,81,94.44,41,244,1
7800,45,14.1,33500,0.793,64,60,89.04,9,177,1
6640,NA,12.2,62800,0.732,52,95,85.19,12,2675,0
6540,33,11.1,58400,0.64,31,84,61.36,24,1823,0
9490,NA,10.5,38200,0.735,66,65,60.1,18,218,1
4961,NA,19.1,52400,0.734,45,66,77.91,10,2082,0
8950,55,11.3,51200,0.877,66,86,94.63,25,210,1
6700,88,14.1,40600,0.689,61,52,97.16,12,651,1
4572,NA,21.8,41200,0.94,36,65,78.62,NA,1092,0
1044,65,24.6,39100,0.726,58,46,96.18,NA,1900,0
5150,61,10.5,44000,0.523,59,64,85.23,11,212,1
3957,45,20,46700,0.894,45,66,78.67,13,1525,0
5925,57,15.9,55900,0.833,37,83,81.24,11,3079,0
4990,NA,18.1,45800,0.956,35,62,62.03,NA,500,0
5154,NA,17.9,48300,0.889,19,75,69.13,11,1501,0
11100,80,11.7,58700,0.898,53,77,78.26,14,719,1
3450,NA,21.1,44600,0.983,34,69,82.05,12,1525,0
3804,41,20.6,41800,0.95,21,57,83.63,17,1840,0
4040,NA,29.5,40300,1,33,67,74.47,11,1330,0
4400,NA,16.1,38500,0.882,73,72,58.81,NA,171,1
3854,NA,24.3,42100,1,29,61,81.6,13,2297,0
3009,30,19.6,38700,1,35,62,72.78,NA,490,0
19040,75,9.1,69900,0.729,74,98,76.31,21,1223,1
4898,NA,22.7,48300,0.989,30,63,78.52,9,2664,0
6900,61,14.4,41300,0.913,49,67,94.39,20,695,1
6600,40,15.2,44000,0.826,35,67,65.94,11,235,0
25180,90,9.8,63500,0.445,93,79,NA,40,577,1
19030,100,11.2,68200,0.304,96,93,99.47,52,418,1
18930,84,10.2,62900,0.463,91,83,98.01,41,456,1
6810,48,15.9,49600,0.665,59,67,84.71,26,438,0
4800,28,15,45600,0.747,38,65,72.85,NA,104,0
7800,30,22,37400,0.902,84,36,57.39,4,361,1
11450,54,11.4,43400,0.62,64,72,83.76,13,265,1
9985,33,27.2,37000,0.819,85,53,24.59,8,217,1
8850,65,21.8,37400,0.876,75,29,48.5,NA,139,1
7975,52,14.5,56600,0.872,56,93,80.41,NA,1741,0
6600,45,15.1,46200,0.837,64,46,66.63,4,172,0
4869,NA,22,51500,0.537,17,57,66.68,5,407,0
2700,61,17.2,NA,0.615,NA,34,94.92,NA,223,1
11180,61,11.5,41900,0.779,75,64,25.17,32,177,1
14710,NA,10.2,NA,0.622,59,69,63.77,9,634,1
9500,34,13.9,32900,0.736,63,47,52.45,NA,101,1
5000,NA,16.3,55400,0.489,NA,69,70.62,NA,381,0
5428,NA,17.8,53000,0.743,54,78,90.23,12,911,0
15588,64,9.2,51800,0.706,77,78,91.4,34,248,1
13960,64,14.4,50200,0.808,72,82,64.02,34,176,1
18800,94,3.3,73400,0.407,90,96,69.44,38,911,1
12990,54,14.7,61700,0.77,80,86,94.24,27,738,1
4136,80,18.2,57100,0.515,29,80,85.84,36,1358,0
12850,36,12.8,44800,0.877,80,77,94.02,36,328,1
5130,52,17.9,51300,0.543,56,73,80.71,18,736,0
16150,51,7.2,57200,0.861,64,63,98.99,26,122,1
17430,45,9.8,58700,0.863,61,73,NA,20,126,1
6800,73,11.6,52600,0.519,63,84,86.29,23,285,0
5166,NA,17.6,57300,0.624,60,76,72.07,24,1215,0
8723,53,18.1,66900,0.722,63,89,82.89,12,3409,0
8594,57,18.4,57700,0.608,55,82,71.42,6,985,0
7014,NA,17.8,48200,0.635,35,56,91.22,NA,508,0
7400,52,10.2,NA,0.422,72,39,56.78,33,237,1
15276,60,11.2,56200,0.779,65,79,94.7,37,214,1
14510,50,12.5,53000,0.817,60,84,91.62,39,278,1
8700,22,14.7,NA,0.77,69,78,78.01,19,220,1
19760,96,8.4,77400,0.231,100,93,99.69,63,418,1
10800,34,11.7,41600,0.809,82,45,47.48,13,82,1
12000,59,13.8,49200,0.796,88,93,71.26,30,491,1
12500,36,16.8,51000,0.778,80,73,64,22,514,1
16600,68,16.8,79000,0.568,94,93,NA,18,407,1
13800,60,17.5,71200,0.672,82,87,66.88,20,640,1
